transaction_id,customer_id,product_id,product_price,emi_duration_months,monthly_emi,interest_rate,customer_income,customer_credit_score,existing_emi,max_affordable_emi,affordability_ratio,affordability_score,risk_level,approved,transaction_date
T00033,C0036,RT0020,2499.0,24,117.64,0.12,61859.04,750,22031.91,15465.12,0.0076,1.0,Low,True,2025-04-05
T00034,C0134,RT0317,601.0,36,21.73,0.18,48253.35,659,9115.35,19378.08,0.0011,1.0,Low,True,2025-09-05
T00035,C0374,RT0023,2799.0,9,326.76,0.12,43059.02,769,3463.88,12303.28,0.0266,1.0,Low,True,2026-02-18
T00036,C0287,RT0182,15435.0,12,1393.14,0.15,31588.81,696,5259.65,12426.28,0.1121,1.0,Low,True,2026-01-13
T00037,C0177,RT0005,499.0,24,23.49,0.12,52543.95,625,18874.39,14839.43,0.0016,1.0,Low,True,2025-11-07
T00038,C0340,RT0134,199.0,12,17.31,0.08,22922.65,798,1642.57,8138.69,0.0021,1.0,Low,True,2026-01-15
T00039,C0389,RT0001,3799.0,18,231.67,0.12,22099.73,588,1212.31,7562.53,0.0306,1.0,Low,True,2025-11-26
T00040,C0437,RT0438,425.0,9,49.01,0.09,22397.53,611,5478.01,5292.75,0.0093,1.0,Low,True,2025-07-24
T00041,C0280,RT0103,3299.0,9,378.88,0.08,167874.76,825,34742.15,42191.46,0.009,1.0,Low,True,2025-06-02
T00042,C0167,RT0146,25499.59,3,8613.45,0.08,38431.6,773,4182.62,16542.87,0.5207,1.2397,Low,True,2026-01-14
T00043,C0135,RT0190,10499.0,6,1827.18,0.15,23173.53,675,3239.94,6563.63,0.2784,1.0,Low,True,2025-06-12
T00044,C0444,RT0042,1299.0,6,224.14,0.12,26863.33,751,8625.34,7577.35,0.0296,1.0,Low,True,2025-07-10
T00045,C0449,RT0050,33990.0,36,1096.76,0.1,58185.66,805,24264.29,13155.59,0.0834,1.0,Low,True,2025-05-18
T00046,C0074,RT0092,11989.0,24,542.23,0.08,87758.45,748,4353.88,29933.33,0.0181,1.0,Low,True,2025-05-25
T00047,C0429,RT0412,999.0,3,338.01,0.09,21055.05,711,7490.32,4927.95,0.0686,1.0,Low,True,2025-06-22
T00048,C0192,RT0226,40990.0,9,4785.19,0.12,76191.96,811,15051.91,26621.86,0.1797,1.0,Low,True,2025-08-28
T00049,C0028,RT0347,1299.0,18,78.01,0.1,16218.15,782,1490.16,4460.79,0.0175,1.0,Low,True,2025-07-04
T00050,C0394,RT0008,899.0,18,54.82,0.12,21752.93,585,3398.46,6765.2,0.0081,1.0,Low,True,2026-02-21
T00051,C0259,RT0366,299.0,6,51.3,0.1,19479.96,643,1845.58,6155.64,0.0083,1.0,Low,True,2025-05-05
T00052,C0441,RT0060,33990.0,36,1096.76,0.1,60051.77,626,20668.47,14130.07,0.0776,1.0,Low,True,2025-12-15
T00053,C0473,RT0258,449.0,36,16.23,0.18,68238.19,668,6101.25,26430.6,0.0006,1.0,Low,True,2025-05-06
T00054,C0008,RT0329,3895.0,18,233.92,0.1,26589.22,604,7003.83,6344.08,0.0369,1.0,Low,True,2025-09-10
T00055,C0325,RT0392,749.0,12,65.85,0.1,26666.92,743,12015.71,4512.98,0.0146,1.0,Low,True,2025-07-30
T00056,C0248,RT0100,3289.0,9,377.73,0.08,84769.77,673,40102.67,13474.45,0.028,1.0,Low,True,2025-12-03
T00057,C0462,RT0066,32490.0,6,5574.03,0.1,97382.85,782,47686.04,20569.48,0.271,1.0,Low,True,2025-10-30
T00058,C0315,RT0378,249.0,24,11.49,0.1,48619.12,673,16817.86,10692.75,0.0011,1.0,Low,True,2025-10-21
T00059,C0196,RT0287,299.0,18,19.08,0.18,20127.73,650,5670.69,5949.67,0.0032,1.0,Low,True,2026-01-15
T00060,C0098,RT0282,679.0,9,81.22,0.18,59495.41,692,39508.07,9929.62,0.0082,1.0,Low,True,2025-11-13
T00061,C0295,RT0365,499.0,36,16.1,0.1,29374.49,656,14885.96,4710.18,0.0034,1.0,Low,True,2025-09-13
T00062,C0347,RT0204,14200.0,18,885.86,0.15,45160.93,754,8156.25,11264.71,0.0786,1.0,Low,True,2025-03-24
T00063,C0045,RT0442,636.0,6,108.8,0.09,38566.83,756,6220.37,13069.96,0.0083,1.0,Low,True,2026-02-10
T00064,C0079,RT0274,379.0,24,18.92,0.18,46474.5,631,14409.98,12802.51,0.0015,1.0,Low,True,2025-05-29
T00065,C0434,RT0343,2899.0,12,254.87,0.1,37644.44,784,14522.43,9054.12,0.0281,1.0,Low,True,2025-07-13
T00066,C0019,RT0379,314.0,18,18.86,0.1,58787.71,765,41535.41,8533.02,0.0022,1.0,Low,True,2025-07-09
T00067,C0341,RT0072,15490.0,12,1361.82,0.1,44988.33,652,16800.35,14081.3,0.0967,1.0,Low,True,2025-03-26
T00068,C0208,RT0120,3577.0,6,610.15,0.08,53695.87,659,25598.87,11966.83,0.051,1.0,Low,True,2025-10-19
T00069,C0465,RT0013,319.0,18,19.45,0.12,48637.84,769,32173.23,5713.32,0.0034,1.0,Low,True,2025-08-26
T00070,C0268,RT0107,3199.0,3,1080.58,0.08,37370.81,737,9894.71,13128.78,0.0823,1.0,Low,True,2025-06-21
T00071,C0391,RT0068,36490.0,18,2191.48,0.1,29989.16,668,2719.26,13532.73,0.1619,1.0,Low,True,2025-06-23
T00072,C0278,RT0241,1799.0,18,109.71,0.12,65222.53,807,12547.62,17691.99,0.0062,1.0,Low,True,2025-07-28
T00073,C0034,RT0279,1229.0,12,112.67,0.18,25461.84,683,4023.59,6873.63,0.0164,1.0,Low,True,2025-10-11
T00074,C0080,RT0425,619.0,12,54.13,0.09,16990.51,841,1549.34,7101.13,0.0076,1.0,Low,True,2025-11-15
T00075,C0130,RT0070,16790.0,36,541.77,0.1,22983.24,826,3419.81,6787.11,0.0798,1.0,Low,True,2025-12-12
T00076,C0256,RT0056,23940.0,9,2772.06,0.1,42829.81,594,12195.72,15027.96,0.1845,1.0,Low,True,2025-06-27
T00077,C0325,RT0151,4039.66,36,126.59,0.08,26666.92,743,12015.71,4512.98,0.028,1.0,Low,True,2026-01-06
T00078,C0331,RT0135,149.0,36,4.67,0.08,43643.51,629,4537.83,17431.58,0.0003,1.0,Low,False,2025-04-19
T00079,C0095,RT0326,2899.0,9,335.68,0.1,34625.73,748,9527.41,9040.23,0.0371,1.0,Low,True,2026-01-17
T00080,C0117,RT0222,105990.0,3,36038.94,0.12,65743.44,679,13248.01,19991.73,1.8027,0.5547,Medium,True,2025-04-27
T00081,C0353,RT0369,180.0,3,61.0,0.1,39275.13,714,4421.14,11640.45,0.0052,1.0,Low,True,2025-11-27
T00082,C0362,RT0149,36857.53,12,3206.18,0.08,17376.63,709,6776.74,4347.08,0.7375,1.1312,Low,True,2025-07-05
T00083,C0300,RT0050,33990.0,12,2988.26,0.1,54850.93,769,21640.83,15838.48,0.1887,1.0,Low,True,2025-07-06
T00084,C0309,RT0039,399.0,9,46.58,0.12,22222.33,627,5504.1,6856.69,0.0068,1.0,Low,True,2025-09-15
T00085,C0213,RT0021,1449.0,36,48.13,0.12,42760.6,749,5348.82,15770.95,0.0031,1.0,Low,True,2026-01-20
T00086,C0188,RT0152,1967.0,18,116.33,0.08,33384.46,718,12606.98,9983.38,0.0117,1.0,Low,True,2025-09-09
T00087,C0299,RT0248,18990.0,6,3276.69,0.12,32377.72,607,3341.89,11623.15,0.2819,1.0,Low,False,2025-05-01
T00088,C0139,RT0037,4999.0,18,304.85,0.12,32455.24,686,6722.34,8425.52,0.0362,1.0,Low,True,2025-05-16
T00089,C0358,RT0143,2849.0,12,247.83,0.08,62252.31,733,46502.63,7863.9,0.0315,1.0,Low,True,2025-06-01
T00090,C0264,RT0415,3699.0,18,220.45,0.09,33076.07,694,16717.3,5126.75,0.043,1.0,Low,True,2026-01-09
T00091,C0435,RT0127,33582.65,24,1518.85,0.08,74031.64,600,4471.25,24672.72,0.0616,1.0,Low,True,2025-06-13
T00092,C0399,RT0098,5398.0,3,1823.38,0.08,48595.47,745,15581.75,10242.6,0.178,1.0,Low,True,2025-11-25
T00093,C0176,RT0288,699.0,3,240.02,0.18,50271.36,767,9678.5,14451.36,0.0166,1.0,Low,True,2025-08-26
T00094,C0079,RT0107,3199.0,24,144.68,0.08,46474.5,631,14409.98,12802.51,0.0113,1.0,Low,True,2025-11-27
T00095,C0184,RT0266,659.0,36,23.82,0.18,12914.07,639,2645.87,4993.95,0.0048,1.0,Low,True,2025-07-01
T00096,C0178,RT0092,11989.0,3,4049.74,0.08,29934.34,675,17880.42,5407.85,0.7489,1.1256,Low,True,2025-09-24
T00097,C0108,RT0104,2849.0,12,247.83,0.08,40368.19,825,2905.64,16672.77,0.0149,1.0,Low,True,2026-02-16
T00098,C0279,RT0115,6489.0,12,564.47,0.08,30712.69,824,15818.05,4926.23,0.1146,1.0,Low,True,2025-08-05
T00099,C0173,RT0002,1999.0,12,177.61,0.12,44438.66,627,9547.89,11687.58,0.0152,1.0,Low,True,2025-10-19
T00100,C0497,RT0412,999.0,3,338.01,0.09,18485.13,712,3298.03,5074.96,0.0666,1.0,Low,True,2025-06-22
T00101,C0107,RT0198,18669.0,6,3249.04,0.15,86143.65,703,28658.96,20207.97,0.1608,1.0,Low,True,2025-12-15
T00102,C0335,RT0373,499.0,18,29.97,0.1,68767.24,603,5133.76,20785.37,0.0014,1.0,Low,True,2025-09-15
T00103,C0326,RT0440,799.0,6,136.68,0.09,50600.86,746,7532.33,18747.59,0.0073,1.0,Low,True,2025-03-20
T00104,C0342,RT0279,1229.0,3,422.02,0.18,36716.15,591,2980.32,15611.07,0.027,1.0,Low,True,2025-05-29
T00105,C0282,RT0201,18535.0,36,642.52,0.15,37698.97,640,15578.83,7377.03,0.0871,1.0,Low,True,2026-02-13
T00106,C0182,RT0041,999.0,9,116.62,0.12,87098.13,685,20462.0,28441.69,0.0041,1.0,Low,True,2025-06-24
T00107,C0458,RT0165,7799.0,18,486.54,0.15,28841.88,700,13285.7,5154.57,0.0944,1.0,Low,True,2026-01-23
T00108,C0012,RT0421,775.0,6,132.58,0.09,43163.87,713,13365.16,11903.08,0.0111,1.0,Low,True,2025-06-19
T00109,C0179,RT0169,9498.0,3,3245.48,0.15,58404.83,691,13503.1,21154.97,0.1534,1.0,Low,True,2025-07-03
T00110,C0455,RT0416,1999.0,3,676.35,0.09,41955.47,811,18396.1,8728.65,0.0775,1.0,Low,False,2026-02-22
T00111,C0021,RT0168,20498.0,24,993.88,0.15,32476.39,737,9592.51,10760.62,0.0924,1.0,Low,True,2025-12-29
T00112,C0322,RT0262,802.0,36,28.99,0.18,79530.67,742,13706.58,22913.78,0.0013,1.0,Low,True,2026-01-29
T00113,C0375,RT0026,798.0,3,271.34,0.12,20748.45,714,9111.96,4563.6,0.0595,1.0,Low,True,2025-09-16
T00114,C0131,RT0111,14989.0,18,886.45,0.08,49245.29,762,9041.56,18134.06,0.0489,1.0,Low,True,2025-05-06
T00115,C0109,RT0182,15435.0,6,2686.21,0.15,61300.86,654,22458.49,16558.97,0.1622,1.0,Low,True,2025-11-03
T00116,C0453,RT0129,2178.0,6,371.52,0.08,27425.3,573,4235.11,7380.76,0.0503,1.0,Low,True,2026-01-05
T00117,C0363,RT0211,34999.0,36,1162.47,0.12,40722.55,717,10580.83,12491.47,0.0931,1.0,Low,True,2025-06-19
T00118,C0098,RT0074,25690.0,9,2974.7,0.1,59495.41,692,39508.07,9929.62,0.2996,1.0,Low,True,2026-01-07
T00119,C0194,RT0257,802.0,36,28.99,0.18,28628.2,827,10917.13,6425.46,0.0045,1.0,Low,True,2025-10-01
T00120,C0119,RT0217,399990.0,9,46694.98,0.12,36599.49,675,4532.47,13905.62,3.358,0.2978,High,False,2025-10-13
T00121,C0088,RT0287,299.0,3,102.67,0.18,26057.26,850,5524.09,9361.42,0.011,1.0,Low,True,2025-06-16
T00122,C0405,RT0088,62990.0,18,3783.0,0.1,23929.3,549,5933.76,7987.3,0.4736,1.0,Low,False,2025-10-10
T00123,C0421,RT0047,28490.0,24,1314.67,0.1,24620.0,674,2506.14,6887.99,0.1909,1.0,Low,True,2026-03-02
T00124,C0394,RT0067,23990.0,9,2777.85,0.1,21752.93,585,3398.46,6765.2,0.4106,1.0,Low,True,2025-12-17
T00125,C0135,RT0255,298.0,3,102.33,0.18,23173.53,675,3239.94,6563.63,0.0156,1.0,Low,True,2026-01-17
T00126,C0004,RT0047,28490.0,18,1711.03,0.1,28065.1,676,2579.95,7820.83,0.2188,1.0,Low,True,2025-05-24
T00127,C0052,RT0286,489.0,36,17.68,0.18,19652.76,724,11035.11,3503.28,0.005,1.0,Low,False,2026-01-19
T00128,C0136,RT0247,15990.0,6,2759.05,0.12,46811.25,555,11622.5,12077.05,0.2285,1.0,Low,True,2025-04-28
T00129,C0165,RT0347,1299.0,9,150.41,0.1,26291.95,661,6469.07,9434.03,0.0159,1.0,Low,True,2026-01-17
T00130,C0091,RT0047,28490.0,3,9655.38,0.1,35718.95,658,28930.3,3156.29,3.0591,0.3269,High,False,2026-01-11
T00131,C0013,RT0020,2499.0,18,152.39,0.12,37425.78,684,10377.3,11750.59,0.013,1.0,Low,True,2026-02-01
T00132,C0407,RT0051,27990.0,18,1681.0,0.1,20928.46,730,6060.3,6032.48,0.2787,1.0,Low,True,2026-02-21
T00133,C0125,RT0218,50019.0,6,8630.7,0.12,25682.05,637,18606.75,3343.5,2.5813,0.3874,High,False,2025-12-15
T00134,C0154,RT0306,1079.0,36,39.01,0.18,82081.23,650,40146.29,15383.73,0.0025,1.0,Low,True,2025-11-05
T00135,C0362,RT0328,1699.0,18,102.04,0.1,17376.63,709,6776.74,4347.08,0.0235,1.0,Low,True,2025-11-08
T00136,C0374,RT0027,1199.0,12,106.53,0.12,43059.02,769,3463.88,12303.28,0.0087,1.0,Low,True,2025-10-19
T00137,C0330,RT0020,2499.0,12,222.03,0.12,96333.46,761,39922.33,24796.45,0.009,1.0,Low,True,2026-03-03
T00138,C0179,RT0064,30990.0,3,10502.64,0.1,58404.83,691,13503.1,21154.97,0.4965,1.0,Low,True,2025-06-14
T00139,C0016,RT0292,449.0,3,154.18,0.18,33507.73,601,6577.41,8580.55,0.018,1.0,Low,True,2025-06-13
T00140,C0033,RT0280,249.0,24,12.43,0.18,56942.65,765,17376.75,19707.82,0.0006,1.0,Low,True,2025-04-05
T00141,C0427,RT0012,990.0,12,87.96,0.12,28584.52,850,4931.17,9352.46,0.0094,1.0,Low,True,2026-03-01
T00142,C0147,RT0029,699.0,12,62.11,0.12,23870.42,711,5223.8,8002.42,0.0078,1.0,Low,True,2025-11-03
T00143,C0072,RT0141,339.0,24,15.33,0.08,24677.98,739,1906.61,10120.81,0.0015,1.0,Low,True,2025-12-03
T00144,C0185,RT0253,1199.0,24,59.86,0.18,30960.67,786,9450.42,8267.8,0.0072,1.0,Low,True,2025-06-09
T00145,C0166,RT0336,12990.0,6,2228.58,0.1,38081.99,693,3242.06,16180.38,0.1377,1.0,Low,True,2025-10-12
T00146,C0070,RT0097,3289.0,3,1110.98,0.08,50875.68,708,6853.02,16735.33,0.0664,1.0,Low,True,2025-12-22
T00147,C0265,RT0049,23990.0,12,2109.1,0.1,26813.21,796,7797.88,7121.37,0.2962,1.0,Low,True,2025-09-11
T00148,C0367,RT0005,499.0,24,23.49,0.12,42962.05,634,6945.49,12527.04,0.0019,1.0,Low,True,2025-11-22
T00149,C0236,RT0339,3299.0,24,152.23,0.1,54267.59,771,6342.01,21365.04,0.0071,1.0,Low,True,2025-07-29
T00150,C0498,RT0249,41490.0,6,7159.03,0.12,31020.34,746,8243.99,11103.39,0.6448,1.1776,Low,True,2026-03-10
T00151,C0214,RT0139,1897.0,18,112.19,0.08,43589.11,790,2479.94,19651.95,0.0057,1.0,Low,False,2025-04-18
T00152,C0420,RT0228,22990.0,6,3966.89,0.12,66574.66,784,10578.33,23610.42,0.168,1.0,Low,True,2026-01-28
T00153,C0402,RT0165,7799.0,24,378.15,0.15,52909.66,714,19890.43,14989.06,0.0252,1.0,Low,True,2025-06-26
T00154,C0485,RT0026,798.0,3,271.34,0.12,44684.7,633,17597.04,8674.36,0.0313,1.0,Low,True,2025-04-29
T00155,C0437,RT0162,3989.0,12,347.0,0.08,22397.53,611,5478.01,5292.75,0.0656,1.0,Low,True,2025-03-30
T00156,C0067,RT0177,18669.0,3,6379.22,0.15,15580.38,687,2305.44,4902.03,1.3013,0.7684,Low,True,2026-02-07
T00157,C0259,RT0151,4039.66,9,463.95,0.08,19479.96,643,1845.58,6155.64,0.0754,1.0,Low,True,2025-12-02
T00158,C0031,RT0300,1079.0,12,98.92,0.18,38436.34,826,2950.78,17467.35,0.0057,1.0,Low,True,2026-01-27
T00159,C0352,RT0047,28490.0,9,3298.91,0.1,32693.01,850,15473.11,5379.64,0.6132,1.1934,Low,True,2025-11-25
T00160,C0123,RT0347,1299.0,6,222.86,0.1,32457.39,625,15657.77,7167.23,0.0311,1.0,Low,True,2025-09-11
T00161,C0471,RT0209,28990.0,24,1364.66,0.12,46380.17,782,7238.28,16334.71,0.0835,1.0,Low,True,2026-01-08
T00162,C0258,RT0166,7789.0,36,270.01,0.15,55464.5,625,25395.64,10014.64,0.027,1.0,Low,True,2025-07-26
T00163,C0493,RT0033,1199.0,12,106.53,0.12,21475.94,819,3883.26,7938.91,0.0134,1.0,Low,True,2025-08-31
T00164,C0026,RT0015,298.0,36,9.9,0.12,38726.35,750,1332.13,14501.26,0.0007,1.0,Low,True,2025-12-10
T00165,C0106,RT0006,499.0,24,23.49,0.12,58400.09,661,10839.41,16000.53,0.0015,1.0,Low,True,2025-09-27
T00166,C0417,RT0089,5398.0,24,244.14,0.08,38429.1,671,4675.08,10358.64,0.0236,1.0,Low,True,2025-06-04
T00167,C0233,RT0225,75990.0,36,2523.96,0.12,21086.26,754,2589.05,6752.58,0.3738,1.0,Low,True,2025-04-18
T00168,C0331,RT0271,469.0,18,29.92,0.18,43643.51,629,4537.83,17431.58,0.0017,1.0,Low,True,2025-12-05
T00169,C0185,RT0280,249.0,9,29.78,0.18,30960.67,786,9450.42,8267.8,0.0036,1.0,Low,True,2025-04-07
T00170,C0097,RT0430,599.0,18,35.7,0.09,27512.62,584,583.51,8522.42,0.0042,1.0,Low,True,2025-11-09
T00171,C0483,RT0098,5398.0,6,920.78,0.08,31201.39,827,13675.71,7406.76,0.1243,1.0,Low,True,2026-02-05
T00172,C0075,RT0056,23940.0,6,4107.18,0.1,35638.53,709,5157.27,9993.93,0.411,1.0,Low,True,2025-07-02
T00173,C0101,RT0363,1159.0,36,37.4,0.1,38717.7,767,7343.22,11875.2,0.0031,1.0,Low,True,2025-09-21
T00174,C0296,RT0303,749.0,24,37.39,0.18,52650.43,648,12128.6,14056.42,0.0027,1.0,Low,True,2025-12-27
T00175,C0462,RT0226,40990.0,9,4785.19,0.12,97382.85,782,47686.04,20569.48,0.2326,1.0,Low,True,2025-11-19
T00176,C0219,RT0034,1499.0,6,258.65,0.12,34488.2,685,15546.12,7067.97,0.0366,1.0,Low,True,2026-02-11
T00177,C0458,RT0168,20498.0,18,1278.76,0.15,28841.88,700,13285.7,5154.57,0.2481,1.0,Low,True,2025-12-16
T00178,C0086,RT0075,16990.0,36,548.22,0.1,42486.05,677,5771.74,11323.38,0.0484,1.0,Low,True,2026-01-03
T00179,C0320,RT0426,549.0,36,17.46,0.09,49902.72,541,27954.18,8316.62,0.0021,1.0,Low,True,2025-06-22
T00180,C0001,RT0279,1229.0,9,147.0,0.18,46553.48,751,21404.91,7648.11,0.0192,1.0,Low,True,2025-07-30
T00181,C0118,RT0373,499.0,18,29.97,0.1,52090.25,803,12450.71,14797.14,0.002,1.0,Low,True,2025-10-06
T00182,C0428,RT0111,14989.0,12,1303.87,0.08,58003.12,574,18892.32,13915.69,0.0937,1.0,Low,True,2025-12-25
T00183,C0352,RT0185,229900.0,12,20750.39,0.15,32693.01,850,15473.11,5379.64,3.8572,0.2593,High,False,2026-03-07
T00184,C0276,RT0213,41990.0,36,1394.67,0.12,42842.53,822,22109.43,7637.68,0.1826,1.0,Low,True,2025-07-30
T00185,C0187,RT0262,802.0,24,40.04,0.18,12383.15,683,1303.14,4827.94,0.0083,1.0,Low,True,2025-03-18
T00186,C0017,RT0324,799.0,24,39.89,0.18,19565.53,741,4956.04,4855.11,0.0082,1.0,Low,True,2025-11-08
T00187,C0220,RT0317,601.0,18,38.35,0.18,37265.13,744,3865.9,12612.65,0.003,1.0,Low,True,2025-04-16
T00188,C0352,RT0279,1229.0,36,44.43,0.18,32693.01,850,15473.11,5379.64,0.0083,1.0,Low,True,2025-05-17
T00189,C0433,RT0155,2178.0,9,250.14,0.08,20136.11,656,4209.82,4806.83,0.052,1.0,Low,True,2026-02-26
T00190,C0226,RT0014,1499.0,12,133.18,0.12,32737.0,721,6698.09,8428.81,0.0158,1.0,Low,True,2025-03-17
T00191,C0073,RT0250,85990.0,12,7640.11,0.12,21151.55,747,8561.13,5835.52,1.3092,0.7638,Low,True,2025-06-10
T00192,C0332,RT0387,539.0,24,24.87,0.1,86458.17,669,20938.54,29207.85,0.0009,1.0,Low,True,2025-06-19
T00193,C0208,RT0164,102900.0,18,6419.39,0.15,53695.87,659,25598.87,11966.83,0.5364,1.2318,Low,True,2025-10-11
T00194,C0091,RT0106,8998.0,12,782.72,0.08,35718.95,658,28930.3,3156.29,0.248,1.0,Low,False,2025-07-27
T00195,C0293,RT0427,699.0,6,119.58,0.09,12577.31,670,3456.26,4397.45,0.0272,1.0,Low,True,2025-10-28
T00196,C0231,RT0433,1380.0,12,120.68,0.09,9876.3,734,2326.68,2493.78,0.0484,1.0,Low,True,2025-11-25
T00197,C0280,RT0039,399.0,36,13.25,0.12,167874.76,825,34742.15,42191.46,0.0003,1.0,Low,False,2025-10-15
T00198,C0235,RT0388,199.0,9,23.04,0.1,44765.77,752,2287.05,17109.19,0.0013,1.0,Low,True,2026-01-20
T00199,C0284,RT0251,699.0,9,83.61,0.18,24820.04,655,7148.9,5593.75,0.0149,1.0,Low,True,2025-07-13
T00200,C0249,RT0302,799.0,18,50.98,0.18,34005.03,665,2255.69,13574.04,0.0038,1.0,Low,True,2025-05-05
T00201,C0179,RT0427,699.0,18,41.66,0.09,58404.83,691,13503.1,21154.97,0.002,1.0,Low,True,2025-10-23
T00202,C0474,RT0104,2849.0,18,168.49,0.08,144993.78,839,50623.49,32950.68,0.0051,1.0,Low,True,2026-02-11
T00203,C0129,RT0432,1499.0,3,507.18,0.09,16681.44,850,2082.87,7175.56,0.0707,1.0,Low,True,2025-07-03
T00204,C0257,RT0205,93499.0,18,5832.92,0.15,32373.65,714,20130.65,5775.67,1.0099,0.9902,Low,True,2026-03-07
T00205,C0011,RT0044,850.0,6,146.67,0.12,25564.85,668,7537.02,5840.53,0.0251,1.0,Low,True,2025-09-04
T00206,C0318,RT0420,3499.0,6,598.57,0.09,30351.98,685,8379.21,8339.48,0.0718,1.0,Low,True,2025-12-04
T00207,C0126,RT0371,549.0,3,186.06,0.1,66989.57,577,20941.87,15070.86,0.0123,1.0,Low,True,2025-10-15
T00208,C0451,RT0007,1449.0,24,68.21,0.12,49239.56,673,15267.77,12336.3,0.0055,1.0,Low,True,2026-02-14
T00209,C0129,RT0232,11990.0,9,1399.72,0.12,16681.44,850,2082.87,7175.56,0.1951,1.0,Low,True,2025-11-10
